Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
ger,FL,B1,,Мой  дедушка  был  из  Швейцарии*@*  но  {{когда }} ему  было  около  двадцати  пяти  лет  он  переехал  в  Венесуэлу*@*  где  он  познакомился  с  моей  бабушкой.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
ger,FL,B1,,А  {{когда }} мой  дедушка  и  моя  бабушка  поженились*@*  они  уехали  жить  в  Винтертуре.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
ger,FL,A2,,{{Когда }} ей  было  десять  вернулась  в  Швейцарию  и  ходила  в  школу  в  Цюрихе.,когда,время,пг,null,мест,null,д,3ед,null мест,null
ser,FL,B2,,{{Когда }} он  ездит  в  город  во  время  свадбенной  подготовки  он  решится  погуляать  в  парке.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
ger,FL,B1,,{{Когда }} Виктор  наконец  идёт  к  колесу  обозрения*@*  встретит  девушку*@*  каторая  ему  нравится  и  он  даже  приглашает  ей  на  ресторане.,когда,время,пг,null,сущ,null,и,3ед,null сущ,null
ger,FL,B2,,{{Когда }} в  конце  концов  всё  вынесли  из  квартиры*@*  поехали  на  грузовом  автомобиле.,когда,время,пг,null,null,null,null,3мн,null null,null
ger,FL,B2,,Они  объехали  здание  оперного  театра  и  подоехали  к  центру  города  {{когда }} вдруг  пробку  заметили.,когда,время,гп,мест,null,и,null,3мн,мест null,null
ger,FL,B2,,{{Когда }} увидели  телевизор  с  самым  большом  экраном*@*  они  сразу  хотели  его  купить.,когда,время,пг,мест,null,и,null,3мн,мест null,null
ger,FL,B2,,Это  город  очень  знакомый*@*  потому  что  раньше  много  торговецов  проходили  там  с  их  товаром*@*  {{когда }} они  переходили  Азий  от  средиземного  мора  до  Китай.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
ger,HL,B2,,Но  даже  если  на  пример  отец  отсутствует  чаще*@*  ребёнок  будет  старатся  стремиться  к  языку  отца*@*  {{когда }} поймёт*@*  что  этот  важен  для  его  жизни.,когда,время,гп,сущ,null,и,null,3ед,сущ null,null
fin,HL,C2,,{{Когда }} ему  надоело  быть  врачом*@*  он  стал  юристом  и  т. д.  Во  время  всего  этого  фильма*@*  за  ним  бегает  один  детектив  и  в  конце  концов  он  догоняет  Леонарда*@*  и  сажает  его  в  тюрьму.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
fr,HL,C2,,Следовательно  экспаты  положительно  оценивают  жизнь  во  Франции  особенно  {{когда }} они  переехали  туда  семьёй.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,HL,B2,,Я  считаю*@*  что  если  человек  станет  учиться  какую-нибудь  языку  уже  с  детство*@*  то  он  научится  говорить  языку  лучше*@*  чем  например*@*  если  он  стал  бы  учится  языку  {{когда }} он  уже  взрослый.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,HL,B2,,{{Когда }} финны  думают  о  русских*@*  они  думают  о  войне*@*  политике*@*  Путине*@*  водке  и  о  других  плохих  делах.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,HL,B2,,{{Когда }} родители  заметили  что  я  пропала*@*  они  конечно- же  очень  разволнавались.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,HL,B2,,Коровы  идут  в  них  свободно*@*  {{когда }} хотят.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,Русские  женщины*@*  они  всегда  нарядные*@*  {{когда }} они  выходят  из  дома.,когда,время,гп,мест,мест,и,и,3мн,мест мест,other
fin,HL,B2,,{{Когда }} Ирина  приехала  в  Финляндию*@*  она  еще  совсем  не  знала  финский  язык.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,HL,B2,,Но  термин « государство- няня»  возник  не  зря*@*  и  знание  рисков  того  или  иного  становится  вредным*@*  {{когда }} оно  превращается  в  фобию.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,HL,B2,,{{Когда }} человек  понимает*@*  что  ему  лгут –  ему  конечно  становится  обидно.,когда,время,п_г,мест,сущ,д,и,3ед,мест сущ,other
fin,HL,B2,,Моя  мама*@*  например*@*  счастливей  тогда*@*  {{когда }} она  сама  дарит  нам  что-то.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,HL,B2,,Конечно*@*  сейчас  возможно  читать  книги  и  в  электронном  виде*@*  и  многие  наверно  так  и  делают  {{когда }} держат  в  руках  свои  геджеты*@*  по  крайней  мере  они  хоть  что-то  читают.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,Честность –  лучшая  политика*@*  особенно  {{когда }} подкреплена  деньгами.»,когда,время,гп,сущ,null,и,null,3ед,сущ null,null
fin,HL,B2,,Коллекционеры  становятся  безумными  {{когда }} не  могут  найти  что-то  для  своей  коллекции*@*   и  радуются*@*   как  малые  дети*@*  приобретая  новые  экспонаты  в  свою  коллекцию.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,Может  быть  Эльдорадо*@*  Шамбала  и  Гиперборея  теряют  свой  блеск  и  заманчивость*@*  {{когда }} становятся  фактуальными  местами  на  карте  мира?,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,Они  растут  только  тогда*@*  {{когда }} получают  пищу.,когда,время,гп,мест,null,и,null,3мн,мест null,null
fin,HL,B2,,Обычно  лососи  становятся  половозрелыми  в  море*@*  {{когда }} достигают 60  до 110  сантиметров.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,HL,B2,,Кажется*@*  что  все  будто  оставляют  позади  печальные  мысли*@*  {{когда }} они  снимают  свои  зимние  пальто.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Один  из  моих  друзьей  однажды  сказал*@*  что  {{когда }} русская  женщина  молодая*@*  она  такая  красавица  и  следит  за  своей  внешностью*@*  но  {{когда }} она  по- старше*@*  замужем  и  у  него  дети*@*  она  толстеет  и  кончит  думать  о  свою  внешность.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Это  легко  говорить*@*  что  женщины  в  Франции  или  Италии  одеваются  стильно*@*  потому  что  им  не  надо  подумать  о  погоде*@*  {{когда }} они  вибырают  одежду.,когда,время,гп,мест,мест,д,и,3мн,мест мест,other
fin,FL,B2,,Но  Финляндия  ей  стала  вторым  домом*@*  и  иногда*@*  {{когда }} она  ездит  туда*@*  она  начинает  скучать  по  Финляндии.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Моя  младшая  сестра -  невысокая  девушка  и  это  всегда  самое  первое  дело*@*  на  которое  люди  обратят  внимание*@*  {{когда }} её  первый  раз  встретят.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,FL,B2,,Интересна  как  Екатерина  II  была  бедная*@*  {{когда }} она  приехала  в  России.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,У  него  были  два  брата  и  две  сестры*@*  но  самая  младшая  сестра  умерла*@*  {{когда }} ней  было  только  два  года.,когда,время,гп,сущ,мест,и,д,3ед,сущ мест,other
fin,FL,B2,,{{Когда }} кошка  спит  с  тобой  в  кровати*@*  она  намнога  меньше  требут  чем  собака  спающая  с  тобой.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Люди  могут  отдыхать  хорошо*@*  {{когда }} делают  что-то  интересного.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,FL,B2,,{{Когда }} он  был  молод*@*  он  решился  его  будет  стать  актерем.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Он  умер  довольно  молодым*@*  {{когда }} ему  было  только 48  лет.,когда,время,гп,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} Саша  написал  письмо*@*  он  сделал  всё  домашнее  задание.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,{{Когда }} Саша  пришёл  дома*@*  он  быстро  приготовил  ужин.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,{{Когда }} Борис  шёл  вниз  по  лестнице*@*  он  увидел  ещё  одну  мышь.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Кассиршам  было  очень  весело*@*  {{когда }} они  узнали*@*  что  я  иностранка  и  не  понимала  их.,когда,время,гп,сущ,мест,д,и,3мн,сущ мест,other
fin,FL,B2,,Мой  дедушка  жил  знаменительную  часть  своей  жизни  в  Швеции*@*  а  потом  переехал  в  Финляндию  после  того*@*  {{когда }} он  познакомился  с  моей  бабушкой.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Девочки  любопытно  спрашивали*@*  кто  я  такая*@*  от  куда  я*@*  и*@*  {{когда }} они  услышали*@*  что  я  буду  заниматься  с  ними*@*  они  искренне  обрадовались  и  обнимали  меня.,когда,время,п_г,мест,мест,и,и,3мн,мест мест,other
fin,FL,B2,,Но*@*  поддерживая  и  финнов*@*  надо  сказать*@*  что  финн  может  быть  самым  лояльным  и  доверчивым  другом*@*  {{когда }} он  уже  откроется  к  новому  знакомству.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Читаю*@*  что  это  финская  традиция  и  после  школа  люди  хочет  кататься  на  лыжах  после  школу*@*  только  {{когда }} они  взрослые.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Там  всегда  было  очень  весело*@*  потому  что  она  взяла  меня  с  собой*@*  {{когда }} она  ходила  по  делам  в  городе*@*  или  {{когда }} было  пора  выгуливать  собаку.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Обычно  дети  пойдут  в  школу*@*  {{когда }} им  уже  семь  лет.,когда,время,гп,сущ,мест,и,д,3мн,сущ мест,other
fin,FL,B2,,Она  хорошо  следит  за  своей  внешностью  и  например  накрасит  губы  всегда*@*  {{когда }} она  пойдёт  куда-нибудь.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,{{Когда }} Олег  приедет  в  парк*@*  он  доволен  тем*@*  что  видет  вокруг  себя.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,В  Петербурге  Анна  работала  парикмахером*@*  но  {{когда }} переехала  в  Финляндию*@*  решила  сменить  место  работы.,когда,время,пг,null,null,null,null,3ед,null null,null
fin,FL,B2,,Она  была  знакома  только  с  мужом*@*  {{когда }} переехала  в  город.,когда,время,гп,мест,null,и,null,3ед,мест null,null
fin,FL,B2,,Но  кроме  того*@*  время  от  времени  он  улыбается  и  в  конце  даже  чуть  смеется*@*  поднимая  большой  палец  вверх*@*  {{когда }} он  отвечает  на  желания  посетителей  сайта  комментировать  другие  комментерия. «,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,{{Когда }} он  знал  что  сказать*@*  он  смотрел  на  люди  и  {{когда }} он  пока  ещё  думал  как  формулировать  свой  ответ*@*  он  смотрел  на  свои  бумаги.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Ведь  она  освободится  от  леса  только*@*  {{когда }} она  умеет  приветливо  просить  падчерица.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,В  Финляндии  считаются*@*  что  у  каждого  человека  есть  свою  обязанностью  ехать  осторожно  и  это  не  только  судьба*@*  если  они  попали  в  аварии*@*  {{когда }} они  сами  слишком  быстро  и  рискованно  ехали.,когда,время,гп,мест,мест,и,и,3мн,мест мест,other
fin,FL,B2,,Марии  также  стало  стыдно  из-за  ее  финских  корнях*@*  {{когда }} она  видела*@*  как  пренебрежительно  финны*@*  приезжавшие  в  Петрозаводск*@*  относились  к  ее  уютной  квартире  в  кирпичном  доме.,когда,время,гп,сущ,мест,д,и,3ед,сущ мест,other
fin,FL,B2,,Уже  её  дедушка  и  бабушка  страдали  за  Сталина*@*  {{когда }} они  в 20- ых  годах  потеряли  своё  поместье  и  всё  со  ним.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Моя  бабушка  всегда  легко  овладеет  языком*@*  и  во  время*@*  {{когда }} ей  надо  общаться  с  немецками*@*  она  умела  чуть  говорить  по-немецки.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,Почему  не  так  многие  русские  хотят  влиять  на  обшество  {{когда }} они  живут  в  Финляндии?,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Традиции  семьи  нет*@*  но  {{когда }} они  видят  вместе  с  семей  они  готовят  еду  и  кушают.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
fin,FL,B2,,{{Когда }} люди  боятся  изменениях*@*  они  боятся  на  самом  деле  себя  и  тот  что  жизнь  не  носит  их.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,Финны  предпочитают  пить  водку  {{когда }} они  напиваются.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,{{Когда }} дедушке  было 30  лет*@*  он  встретился  с  девушкой*@*  которая  была  моложе  его  на 10  лет —  моя  бабушка.,когда,время,пг,мест,сущ,и,д,3ед,мест сущ,other
fin,FL,B2,,{{Когда }} ему  было 14  лет*@*  он  увидел  журнал  о  бодибилдинге  за  окном  магазина.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} он  отслужил  в  армии*@*  он  выиграл  первый  конкурс  бодибилдинга  и  получил 11  килограммов  мускул*@*  так  как  у  него  была  возможность  есть  много.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Моего  папу  она  встретила*@*  {{когда }} ей  была  двадцать  один  год.,когда,время,гп,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} ему  было 14  лет*@*  он  поступил  на  Пажеский  Корпус  и  окончив  там  учебу*@*  стал  офицером.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} мои  друзья  заметили*@*  что  со  мной  случилась*@*  все  они  кинулись  покупать  себе ” Чудо”.,когда,время,п_г,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,Она  сообщила*@*  что  в  первый  раз  в  своей  жизни  она  была  няней*@*  {{когда }} ей  было  только  семь  лет.,когда,время,гп,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,Во  всяком  случае*@*  моя  сестра  начала  работать  на  деньги*@*  {{когда }} она  переселилась  в  Тампере.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
fin,FL,B2,,Она  точно  знает*@*  {{когда }} она  хочет  кончить  эту  работу:  в  возрасте 25- и  лет.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Например*@*  молодые  русские  люди  употребляют « вы»*@*  {{когда }} они  обращаются  к  более  старшим  людям.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,{{Когда }} хозяин  вернулся  домой*@* он  заметил*@*  что  мыши  завоевали  дом.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,{{Когда }} он  написал  письмо  он  недолго  занимался  математикой.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Так  и  обеденный  перерыв  уютнее*@*  {{когда }} проведётся  вместе  с  коллегами.,когда,время,гп,сущ,null,и,null,3ед,сущ null,null
fin,FL,B2,,Я  могу  представить  себе  как  рады  мои  родители  были*@*  {{когда }} они  так  долго  ждали  меня.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Но  он  покупает  тоже  {{когда }} он  грустный*@*  чтобы  можно  чувствовать  себя  хорошему.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Мне  кажется*@*  что  многие  учительницы  работали  в  нашей  школе  до  тех  пор*@*  {{когда }} они  получили  вакансию  в  другой  школе.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
fin,FL,B2,,Мира  вышла  замуж  {{когда }} её  была 17  лет.,когда,время,гп,сущ,мест,и,д,3ед,сущ мест,other
fin,FL,B2,,{{Когда }} маме  восемнадцать  лет  она  встретила  молодой  человек  в  дискотеке.,когда,время,пг,мест,сущ,и,д,3ед,мест сущ,other
fin,FL,B2,,{{Когда }} ему 15  лет*@*  он  вступил  в  ряды  Королевского  военно-морского  флота  Великобритании.,когда,время,пг,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} Стивену  было  семь  лет*@*  начал  он  школу- интернат.,когда,время,пг,мест,сущ,и,д,3ед,мест сущ,other
fin,FL,B2,,Утром  Саша  всегда  очень  устал  и  поэтому  он  любить  пить  кофе*@*  {{когда }} он  завтракает.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,{{Когда }} он  приходил  домой*@*  он  был  очень  голодный  и  сразу  приготовил  ужин.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Но  финская  культура  все  время  меняет*@*  {{когда }} получает  влияния  других  культур.,когда,время,гп,сущ,null,и,null,3ед,сущ null,null
fin,FL,B2,,А  то  потом*@*  {{когда }} дети  вернутся  на  учебу*@*  они  же  все  равно  будут  спрашивать ( и  сравнивать)  друг  у  друга « что  ты  получил  на  рождество». «,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,Он  начал  писать  стихи  {{когда }} ему  было 16  лет.,когда,время,гп,мест,мест,и,д,3ед,мест мест,other
fin,FL,B2,,{{Когда }} русские  обращает  к  незнакомому  на  улице*@*  они  скажут « извините»*@* « бутьте  добры»  или « скажите*@*  пожалуйста»  и  так  далее*@*  но  в  Финляндии  люди  просто  скажут « извините».,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,{{Когда }} она  решит  делать  что-то*@*  она  всегда  делает  так.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
fin,FL,B2,,Они  просто  могут  так  делать*@*  потому  что  большинство  людей  не  хотят  вмешиваться  {{когда }} видят  что-то  плохого.,когда,время,гп,сущ,null,и,null,3мн,сущ null,null
fin,FL,B2,,{{Когда }} моей  бабушке  было  около 30  лет*@*  она  вышла  замуж  с  сыном  хозяина  соседней  фермы.,когда,время,пг,мест,сущ,и,д,3ед,мест сущ,other
fin,FL,B2,,Антти  умерел*@*  {{когда }} ему  было 50  лет.,когда,время,гп,сущ,мест,и,д,3ед,сущ мест,other
fin,FL,B2,,А  даже  {{когда }} курсы  обязательные  в  университете*@*  они  гораздо  полезнее*@*  чем  те  в  лицее.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
fin,FL,B2,,{{Когда }} моя  сестра  росла*@*  она  стала  бодрой*@*  неудержимой  и  умной.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
fin,FL,B2,,Многие  иммигранты  имеют  какой-то  образования*@*  и  {{когда }} они  научит  финский  язык*@*  они  могли  бы  начать  работать.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
fin,FL,B2,,Трудно  объяснять  почему  так*@*  но  может  быть*@*  я  думала*@*  что  {{когда }} человек  стареет*@*  должен  знать*@*  как  делать  вещи  по-своему*@*  сам*@*  в  одиночку.,когда,время,пг,null,сущ,null,и,3ед,null сущ,null
swe,FL,IL,,Он  часто  преступает  закон  {{когда }} он  залезает  над  стеной  сепаратистски  израильски.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,IH,,В  последном  часте   и  {{когда }} сын  наконец  нашёл  свою  маму*@*  он  был  очень  счастлив   и  улыбнулся*@*  казалось   что  он  видел  ангел.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
swe,HL,IH,,{{Когда }} Агутин  был  малым  он  выучился  играть  на  пиано  в  Москвореще.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
swe,FL,NM,,Он  тоже  писал  о  первом  концерте   Прокофьева*@*  котором  он  видел  {{когда }} он  был  на  концерте  в  Капелле. В  конце  он   писал  что  он  надеялься*@*  что  в  субботу  или  в  воскресенье   они  с  Катей  смогли  пойти   потанцевать  или  погулять.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
swe,FL,NH,,Тамаре  было  хорошо*@*  {{когда }} она  смотрела  английские  фильмы  по  телевизору.,когда,время,гп,сущ,мест,д,и,3ед,сущ мест,other
swe,FL,NH,,В  январе  {{когда }} она  была  в  детском  саде*@*  она  упала *@*  и  ударила  лоб.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
swe,FL,AM,,{{Когда }} проснутся*@*  они  увидят*@*  что  Москва  исчезнувший.,когда,время,пг,мест,null,и,null,3мн,мест null,null
ser,FL,NM,,{{Когда }} он  был   молодой*@*  он  работал  в  России.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IL,,Они  должны  быт  хорошем  человеком  и  всегда  помогать  {{когда }} они  видят  что  кому - то  нужно  помош.,когда,время,гп,мест,мест,и,и,3мн,мест мест,other
eng,HL,IL,,И  {{когда }} он  дружбу  нашел*@*  он  на  самом  деле  стал  счастливом.  сейчас  Царю  значение  друга -  счастье.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IL,,Эта  знакомая  мне  также  сказала*@*  что*@*  {{когда }} она  была  в  Америке ( она  жила  там  несколько  раз*@*  по  четырем  месяцам)*@*  она  спрашивала  у  других  там*@*  есть-  ли  у  них  такие  друзья*@*  которые  могли  бы  отдать  всё  для  другого.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IL,,Друг  lсегда  находетсе  блиска  {{когда }} он  нужен.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
eng,HL,IL,,Но  {{когда }} он  уехал  учиться  в  университете*@*  особых  отноений  он  не  собиралься  поддерживать.,когда,время,пг,мест,мест,и,и,3ед,мест мест,other
eng,HL,IL,,Он  встречался  с  девушками  и  даже  поженился  на  несколько  месяцев  {{когда }} закончил  институт.,когда,время,гп,мест,null,и,null,3ед,мест null,null
eng,HL,IL,,Многие  студенты  задают  себе  этот  вопрос  {{когда }} они  первый  раз  приежают  в  университет.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IL,,{{Когда }} люди  представляют  себя*@*  чтотакойсамый  идияльный  друг*@*  они  представляют  разные  идеи.,когда,время,п_г,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Когда }} друзья  видят  друг  друга*@*  они  видят  в  другом  человеком  характеристики*@*  котрые  они  уважают  и  хотят  видеть  в  себе.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Когда }} друг  верный  не  важно  ему  что  ты  делаешь  или  какие  ошибки  совершаешь.,когда,время,пг,мест,сущ,д,и,3ед,мест сущ,other
eng,FL,IL,,Они  считают  праздники  или  каникули  {{когда }} они  могут  собираться  вместе  как  священное  время.,когда,время,гп,мест,мест,и,и,3мн,мест мест,other
eng,FL,IL,,Младшие  братья  и  сестры  учат  у  старших -  они  влияют  на  интересы  друг  друга*@*  помагают  друг  другу  развывать  характер*@*  вкусы  для  музыки*@*  пиши*@*  кино*@*  учение  и  т. д.  {{Когда }} члены  семьи  не  находятся  вместе*@*  они  больше  всех  думают  друг  о  друге*@*  и  часто  переписываются  или  созвонятся.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Когда }} Раскольников  знакомится  с  Соней*@*  он  наконец  чувствует  себя  удобно  с  кем-то.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Когда }} наши  родители  покупили  что-то  для  одной  сестры*@*  они  покупили  тот  же  самый  вещь ( в  другом  цвете)  другой  сестре.,когда,время,пг,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Когда }} человек  находить  хорошего  друга*@*  он  должен  держать  эту  дружбу.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Дружба  пожожа  на  любовь –  оба  дружбу  и  любовь  тежело  найти  и  поэтому*@*  {{когда }} человек  находит  настоящую  дружбу*@*  он  должен  её  держать  и  берегь.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Иван  был  так  рад*@*  потому  что  он  думал « {{Когда }} эти  люди  унают*@*  что  я  здесь*@*  они  позвонят  моей  семьей!»,когда,время,п_г,мест,сущ,и,и,3мн,мест сущ,other
eng,FL,IL,,{{Когда }} Иван  узнал  что  у  него  ещё  дом  был  очень  рад.,когда,время,пг,null,сущ,null,и,3ед,null сущ,null
eng,FL,IL,,Итак*@*  друг  человек  который  вчера  слуwает  {{когда }} тебе  нужний  он*@*  и  вчера  говорит  {{когда }} тебе  надо*@*  и  сказат  что  тебе  надо  служить*@*  но  что  ты  не  хочеwь  служить.,когда,время,гп,д_мест,мест,и,и,3ед,д_мест мест,other
eng,FL,IL,,Обычно  {{когда }} человек  думает  об  друд  он  думает  об  человек  кто  помадиет  наши  друзей.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Но  {{когда }} они  общаются*@*  оба  начинают  изменять  их  языки*@*  говорить  как  другой  говорить*@*  становиться  более  похожыми.,когда,время,пг,д_мест,мест,и,и,3мн,д_мест мест,other
eng,FL,IL,,Такой  друг  сочувствует  с  людьми*@*  таким  образом  помогает  им.  {{Когда }} человек  ощибается*@*  он  не  хочет  слушать  от  друзей  причины  ощибок  или  речь  о  ним.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Поэтому*@*  {{когда }} человек  приходит  к  другу*@*  он  хочет  получит  комфортные  или  практические  слова.,когда,время,пг,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,{{Когда }} мне  нужны  они*@*  други  будут  здесть  давать  ручку.,когда,время,пг,сущ,мест,и,и,3мн,сущ мест,other
eng,FL,IL,,Друг  больше  чем*@*  то  кто-то  который  здоровается  вам  {{когда }} он  видет  вас  на  улице.,когда,время,гп,д_мест,мест,и,и,3ед,д_мест мест,other
eng,FL,IL,,Друг  всегда  здесь*@*  {{когда }} друг  нужен  тебе.,когда,время,гп,сущ,сущ,и,и,3ед,сущ сущ,other
eng,FL,IL,,Он  бросил  школу  {{когда }} он  еще  был  молодым*@*  и  он  жил  на  улице*@*  на  которой  только  жили  старишки -  поэтому*@*  этот  был  первым  разом  у  нескольких  месяца  {{когда }} он  встретил  с  другым  мальчиком.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
eng,FL,IL,,Он  был  другом  не  потому*@*  что  он  что-то  делал  для  папы -  а  потому*@*  что  даже  {{когда }} мой  папа  сердился*@*  даже  {{когда }} он  думал*@*  что  он  ненавидел  Грега*@*  на  самом  деле  он  делал  все  возможное  чтобы  защитить  Грега.,когда,время,п_г,мест,сущ,и,и,3ед,мест сущ,other
eng,FL,IL,,Но*@*  по-моему*@*  тот  человек*@*  которого  он  видет  только  пять  раз  в  год*@*  но  {{когда }} они  видят  друг  друга*@*  они  долго  говорят  о  жизни*@*  о  дружбе*@*  о  политике  и  о  мире –  они  друзья.,когда,время,пг,мест,мест,и,и,3мн,мест мест,other
eng,FL,IL,,Соня  была  подруга  Раскольникову  в  то  время  {{когда }} она  помогла  ему  исповедоваться  в  убийство  старой  женwины  и  Елизаветы  потому*@*  что  это  помогал  Расскольникову  вернуться  к  жизни  и  находить  счастье  в  жизни  в  конце  концов.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
